id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01HZMQQYFKRF22D81B1TXY6MAW,01HZMQQ6FSDQCJC3B3BNPPRAGQ,2024-06-05T18:39:27.347591+01:00,3000,2024-06-05T18:39:27.347591+01:00,true,2024-06-05T19:23:10.559623+01:00,01HZMQQ6G8AM0M24Z3GMZTW51T,2024-06-05T18:39:27.347591+01:00,23,2024-06-05T18:39:27.347591+01:00,Round 23,2024-06-05T18:39:27.347591+01:00,1,2024-06-05T18:39:27.506682+01:00,true,2024-06-05T19:23:07.732807+01:00
01HZN00GPWKZMGZ1XRA8VSBK2V,01HZN0050VDBNNEXHRP0AQ08YS,2024-06-05T21:03:56.764896+01:00,3000,2024-06-05T21:03:56.764896+01:00,true,2024-06-05T21:36:09.374005+01:00,01HZN0051C9YE3SMGZ7PTMNH0N,2024-06-05T21:03:56.764896+01:00,23,2024-06-05T21:03:56.764896+01:00,Round 23,2024-06-05T21:03:56.764896+01:00,1,2024-06-05T21:03:56.959271+01:00,true,2024-06-05T21:36:07.631357+01:00
01HZHD2T246RQM8VRRSJGJWYG5,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.636831+01:00,3000,2024-06-04T11:35:25.636831+01:00,false,2024-06-04T11:35:25.636831+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.636831+01:00,13,2024-06-04T11:35:25.636831+01:00,Round 13,2024-06-04T11:35:25.636831+01:00,1,2024-06-04T11:35:25.746965+01:00,false,2024-06-04T11:35:25.636831+01:00
01HZHD2T226F5KVDPVMFGHWSDF,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.634829+01:00,3000,2024-06-04T11:35:25.634829+01:00,false,2024-06-04T11:35:25.634829+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.634829+01:00,10,2024-06-04T11:35:25.634829+01:00,Round 10,2024-06-04T11:35:25.634829+01:00,1,2024-06-04T11:35:25.726132+01:00,false,2024-06-04T11:35:25.634829+01:00
01HZSFXJ4XS29P5SCDE87P5XD2,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:54.877201+01:00,3000,2024-06-07T14:58:54.877201+01:00,false,2024-06-07T14:58:54.877201+01:00,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:54.877201+01:00,39,2024-06-07T14:58:54.877201+01:00,Round 39,2024-06-07T14:58:54.877201+01:00,1,2024-06-07T14:58:55.298194+01:00,false,2024-06-07T14:58:54.877201+01:00
01HZKWZEJ76YB4BPAHCRE658XV,01HZKWZ2N1HQM73CXRWXVV180Z,2024-06-05T10:51:41.639242+01:00,3000,2024-06-05T10:51:41.639242+01:00,true,2024-06-05T10:56:29.521564+01:00,01HZKWZ2NBSYA83F7NBETADF40,2024-06-05T10:51:41.639242+01:00,8,2024-06-05T10:51:41.639242+01:00,Round 8,2024-06-05T10:51:41.639242+01:00,1,2024-06-05T10:51:41.728638+01:00,true,2024-06-05T10:56:26.777967+01:00
01HZSFXJ5ADG900XX12Q72D00A,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:54.890812+01:00,3000,2024-06-07T14:58:54.890812+01:00,false,2024-06-07T14:58:54.890812+01:00,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:54.890812+01:00,46,2024-06-07T14:58:54.890812+01:00,Round 46,2024-06-07T14:58:54.890812+01:00,1,2024-06-07T14:58:55.362869+01:00,false,2024-06-07T14:58:54.890812+01:00
01HZN350MVNPZ9KJWC4CHDHH45,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.883413+01:00,3000,2024-06-05T21:58:49.883413+01:00,false,2024-06-05T21:58:49.883413+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.883413+01:00,31,2024-06-05T21:58:49.883413+01:00,Round 31,2024-06-05T21:58:49.883413+01:00,1,2024-06-05T21:58:50.116943+01:00,false,2024-06-05T21:58:49.883413+01:00
01HZN00GQ412J6CE39BR6Y8F6K,01HZN0050VDBNNEXHRP0AQ08YS,2024-06-05T21:03:56.772667+01:00,3000,2024-06-05T21:03:56.772667+01:00,true,2024-06-05T21:57:12.394572+01:00,01HZN0051C9YE3SMGZ7PTMNH0N,2024-06-05T21:03:56.772667+01:00,31,2024-06-05T21:03:56.772667+01:00,Round 31,2024-06-05T21:03:56.772667+01:00,1,2024-06-05T21:03:57.002788+01:00,true,2024-06-05T21:36:48.53536+01:00
01HZSGA4PDJPHTBW1PZ6HYX6WC,01HZSG9T0TZBK9W6QR9KEN15FG,2024-06-07T15:05:47.085106+01:00,3000,2024-06-07T15:05:47.085106+01:00,false,2024-06-07T15:05:47.085106+01:00,01HZSG9T1GTJ9QS8TQXQF6VFJP,2024-06-07T15:05:47.085106+01:00,36,2024-06-07T15:05:47.085106+01:00,Round 36,2024-06-07T15:05:47.085106+01:00,1,2024-06-07T15:05:47.537576+01:00,false,2024-06-07T15:05:47.085106+01:00
