id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J0GVDA1FQKM9S7JPTM2QY53Z,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:42:17.154422+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:42:17.154422+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:42:17.154422+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:42:17.154422+01:00,01J0GVAW032DRN2KE8WF16E7CY,2024-06-16T16:42:17.154422+01:00,true,2024-06-16T16:42:18.781298+01:00
01J0JM20R990CQ6SXBQHG70NWX,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:12:16.009413+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:12:16.009413+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:12:16.009413+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:12:16.009413+01:00,01J0JKRFAQCGC27DBHK4GXR18N,2024-06-17T09:12:16.009413+01:00,true,2024-06-17T09:12:17.674847+01:00
01J0JMAT54RYZNSVF0XVFGQXER,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:17:04.164768+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:17:04.164768+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:17:04.164768+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:17:04.164768+01:00,01J0JM7EFZJS6PAXZB1AQWNNF6,2024-06-17T09:17:04.164768+01:00,true,2024-06-17T09:17:05.933261+01:00
01J0G9TAPTPX887HFVY53HDEME,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:34:49.434079+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:34:49.434079+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:34:49.434079+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:34:49.434079+01:00,01J0G9PJ0TFKZ3SSJV555GRA1N,2024-06-16T11:34:49.434079+01:00,true,2024-06-16T11:34:50.986444+01:00
01J0GT4NRQGXQWDK16K7NKJ8JK,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T16:20:05.655688+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T16:20:05.655688+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T16:20:05.655688+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T16:20:05.655688+01:00,01J0GJ3RKXR730YXXF9Q2YPXSH,2024-06-16T16:20:05.655688+01:00,,
01J0GV024TGZ0RCCBX4AYSFS9V,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:35:03.066909+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:35:03.066909+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:35:03.066909+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:35:03.066909+01:00,01J0GTB18SDNH88SEBH5KHWAHN,2024-06-16T16:35:03.066909+01:00,true,2024-06-16T16:37:04.252591+01:00
01J0JKA1DFA6F0MKJ9CCXV6JYT,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:59:10.25596+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:59:10.25596+01:00,01J0JJS035KS4ZH5X2JA8EMMCH,2024-06-17T08:59:10.25596+01:00,01J0JJS2HNQ57T97DJF53PFRMT,2024-06-17T08:59:10.25596+01:00,01J0JJS2N5S2JQ85YNFX6KMHK9,2024-06-17T08:59:10.25596+01:00,true,2024-06-17T08:59:50.938108+01:00
01J0JMAVWVHNGH5NZZ180JV8GB,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:17:05.947316+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:17:05.947316+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:17:05.947316+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:17:05.947316+01:00,01J0JM7EFZJS6PAXZB1WZ7C0A9,2024-06-17T09:17:05.947316+01:00,true,2024-06-17T09:17:07.392402+01:00
01J0G9HTQT64W5XCNVPZ18KS5P,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:10.9389+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:10.9389+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:30:10.9389+01:00,01J0G9HKHVW5NE75112FYQG3W1,2024-06-16T11:30:10.9389+01:00,01J0G9HKJBCE4HZFYE3KPB0RGB,2024-06-16T11:30:10.9389+01:00,true,2024-06-16T11:30:20.538325+01:00
01J0G9MYW01KTS4FZ23FMHX3TT,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:31:53.472292+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:31:53.472292+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:31:53.472292+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:31:53.472292+01:00,01J0G9HKN1PB1W4J3KBXVH4N1H,2024-06-16T11:31:53.472292+01:00,true,2024-06-16T11:31:54.963393+01:00
01J0G9N50EG3CT8GWQVJM59FSK,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:31:59.758198+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:31:59.758198+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:31:59.758198+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:31:59.758198+01:00,01J0G9HKN27S94M3SJE498998K,2024-06-16T11:31:59.758198+01:00,true,2024-06-16T11:32:01.184109+01:00
01J0GTVS7VVNHMSH2TW1A44J3R,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:32:42.876009+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:32:42.876009+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:32:42.876009+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:32:42.876009+01:00,01J0GTB18R0B1F56G052585QCD,2024-06-16T16:32:42.876009+01:00,true,2024-06-16T16:32:44.185498+01:00
01J0GVD5B9ZDHPQB59VEP644QQ,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:42:12.329995+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:42:12.329995+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:42:12.329995+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:42:12.329995+01:00,01J0GVAW02AVVQ4YA2V34YFQ4G,2024-06-16T16:42:12.329995+01:00,true,2024-06-16T16:42:14.013082+01:00
01J0JM89ADN267GE3K8GFV8MPH,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:41.389747+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:41.389747+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:41.389747+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:41.389747+01:00,01J0JM7EFMBF3D6311QHSW80N7,2024-06-17T09:15:41.389747+01:00,true,2024-06-17T09:15:43.069312+01:00
01J0GJ7RVG21CZRQ5FC3CQVKZ1,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T14:01:58.512124+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T14:01:58.512124+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T14:01:58.512124+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T14:01:58.512124+01:00,01J0GJ3RKTE0SWZTQ7GTE9A387,2024-06-16T14:01:58.512124+01:00,true,2024-06-16T14:02:08.889879+01:00
01J0GJDEB8DMHHZSTD7DQBCM6X,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T14:05:04.360546+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T14:05:04.360546+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T14:05:04.360546+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T14:05:04.360546+01:00,01J0GJ3RKVSHC9ANVK7KV49SKZ,2024-06-16T14:05:04.360546+01:00,true,2024-06-16T14:15:55.155127+01:00
01J0GVBXNC90SN15QPRD280MQ4,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:41:31.692487+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:41:31.692487+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:41:31.692487+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:41:31.692487+01:00,01J0GVAVZY3X165N4ZCJ0F3RH9,2024-06-16T16:41:31.692487+01:00,true,2024-06-16T16:41:46.207936+01:00
01J0JKFZN0Z8WD4Y0Q6RC5J77S,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:25.056283+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:25.056283+01:00,01J0JKFB83WSXXETQ1YZCMRNS0,2024-06-17T09:02:25.056283+01:00,01J0JKFD86K00RP403ZZQFJYGJ,2024-06-17T09:02:25.056283+01:00,01J0JKFDB2CW73J2MDZHYNS4CQ,2024-06-17T09:02:25.056283+01:00,true,2024-06-17T09:02:30.659027+01:00
01J0JM8CEJGHMNW88BHJBNYAPE,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:44.594945+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:44.594945+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:44.594945+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:44.594945+01:00,01J0JM7EFN2RB22T7VCB1T2YXV,2024-06-17T09:15:44.594945+01:00,true,2024-06-17T09:15:50.340075+01:00
