id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J0GVAW0CK2XDJH7A9CCNDQGK,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.228021+01:00,3000,2024-06-16T16:40:57.228021+01:00,false,2024-06-16T16:40:57.228021+01:00,,,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.228021+01:00,45,2024-06-16T16:40:57.228021+01:00,,,swipeProfile_46,2024-06-16T16:40:57.228021+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:40:57.228021+01:00,false,2024-06-16T16:40:57.228021+01:00,,,,,01J0GVAVZNPFMP6KVFW1EB48TE,2024-06-16T16:40:57.228021+01:00
01J0JJS2NJSQEG54BGRJPG5BYV,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.482514+01:00,3000,2024-06-17T08:49:54.482514+01:00,false,2024-06-17T08:49:54.482514+01:00,,,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.482514+01:00,46,2024-06-17T08:49:54.482514+01:00,,,swipeProfile_47,2024-06-17T08:49:54.482514+01:00,01J0JJS2HNQ57T97DJF53PFRMT,2024-06-17T08:49:54.482514+01:00,false,2024-06-17T08:49:54.482514+01:00,,,,,01J0JJS2MSXXB5G248GMVRT8Z1,2024-06-17T08:49:54.482514+01:00
01J0JM7EFZJS6PAXZB2GSK4J75,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.919895+01:00,3000,2024-06-17T09:15:13.919895+01:00,true,2024-06-17T09:17:12.857374+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.919895+01:00,39,2024-06-17T09:15:13.919895+01:00,true,2024-06-17T09:17:07.413095+01:00,swipeProfile_40,2024-06-17T09:15:13.919895+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:13.919895+01:00,true,2024-06-17T09:17:07.402087+01:00,true,2024-06-17T09:17:07.424391+01:00,,,01J0JM7EF409NKGYJRHAPSB23F,2024-06-17T09:15:13.919895+01:00
01J0G9HKMXGK8XGRQD9JZMJWAG,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.677376+01:00,3000,2024-06-16T11:30:03.677376+01:00,true,2024-06-16T11:31:04.2306+01:00,,,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.677376+01:00,19,2024-06-16T11:30:03.677376+01:00,true,2024-06-16T11:30:59.503576+01:00,swipeProfile_20,2024-06-16T11:30:03.677376+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:30:03.677376+01:00,true,2024-06-16T11:30:59.497441+01:00,true,2024-06-16T11:30:59.509424+01:00,,,01J0G9HKKEB8SSRP5VQ3DFQ6RH,2024-06-16T11:30:03.677376+01:00
01J0JM7EG1QGJKJ5KZE7M6K8QG,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.921227+01:00,3000,2024-06-17T09:15:13.921227+01:00,true,2024-06-17T09:17:26.761397+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.921227+01:00,44,2024-06-17T09:15:13.921227+01:00,true,2024-06-17T09:17:25.208451+01:00,swipeProfile_45,2024-06-17T09:15:13.921227+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:13.921227+01:00,true,2024-06-17T09:17:25.201958+01:00,true,2024-06-17T09:17:25.214788+01:00,,,01J0JM7EF9CG4C11NF6XZXYQ29,2024-06-17T09:15:13.921227+01:00
01J0GT56QKJXX0QYC70C07353V,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:23.027466+01:00,3000,2024-06-16T16:20:23.027466+01:00,false,2024-06-16T16:20:23.027466+01:00,,,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:23.027466+01:00,17,2024-06-16T16:20:23.027466+01:00,,,swipeProfile_18,2024-06-16T16:20:23.027466+01:00,01J0GT56MH4QE84J6XED7T2QMW,2024-06-16T16:20:23.027466+01:00,false,2024-06-16T16:20:23.027466+01:00,,,,,01J0GT56NY4BDFW6Y50N7QCDT9,2024-06-16T16:20:23.027466+01:00
01J0GV7JTHND5N35S5VCWYHGQY,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.521306+01:00,3000,2024-06-16T16:39:09.521306+01:00,false,2024-06-16T16:39:09.521306+01:00,,,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.521306+01:00,37,2024-06-16T16:39:09.521306+01:00,,,swipeProfile_38,2024-06-16T16:39:09.521306+01:00,01J0GV7JQB7F2ANFTXQDZSCTRW,2024-06-16T16:39:09.521306+01:00,false,2024-06-16T16:39:09.521306+01:00,,,,,01J0GV7JSM21057V7NRY3CV4V4,2024-06-16T16:39:09.521306+01:00
01J0JKRFAQCGC27DBHJ1NS2G85,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.255378+01:00,3000,2024-06-17T09:07:03.255378+01:00,true,2024-06-17T09:12:13.520606+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.255378+01:00,20,2024-06-17T09:07:03.255378+01:00,true,2024-06-17T09:12:11.850232+01:00,swipeProfile_21,2024-06-17T09:07:03.255378+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:03.255378+01:00,true,2024-06-17T09:12:11.8431+01:00,true,2024-06-17T09:12:11.862053+01:00,,,01J0JKRF913F3ZKX786M0GD9AT,2024-06-17T09:07:03.255378+01:00
01J0JKRFAVD9Z5F6DN636SQ9WR,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.259245+01:00,3000,2024-06-17T09:07:03.259245+01:00,true,2024-06-17T09:14:04.550943+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.259245+01:00,34,2024-06-17T09:07:03.259245+01:00,true,2024-06-17T09:14:02.657652+01:00,swipeProfile_35,2024-06-17T09:07:03.259245+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:03.259245+01:00,true,2024-06-17T09:14:02.650213+01:00,true,2024-06-17T09:14:02.665469+01:00,,,01J0JKRF9P8XFT0FKVAAPAZQ9Z,2024-06-17T09:07:03.259245+01:00
01J0JM7EFRG4PEG5KXQA4S19X5,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.912991+01:00,3000,2024-06-17T09:15:13.912991+01:00,true,2024-06-17T09:16:08.552832+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.912991+01:00,13,2024-06-17T09:15:13.912991+01:00,true,2024-06-17T09:16:06.957287+01:00,swipeProfile_14,2024-06-17T09:15:13.912991+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:13.912991+01:00,true,2024-06-17T09:16:06.950885+01:00,true,2024-06-17T09:16:06.964809+01:00,,,01J0JM7EE43HXY3HFNDT2MMWJC,2024-06-17T09:15:13.912991+01:00
01J0JM7EFW5VFKQY4ED2523ZMZ,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.916605+01:00,3000,2024-06-17T09:15:13.916605+01:00,true,2024-06-17T09:16:38.384633+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.916605+01:00,26,2024-06-17T09:15:13.916605+01:00,true,2024-06-17T09:16:31.685417+01:00,swipeProfile_27,2024-06-17T09:15:13.916605+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:13.916605+01:00,true,2024-06-17T09:16:31.678311+01:00,true,2024-06-17T09:16:31.692109+01:00,,,01J0JM7EENXEQ9H3R86WHDNWQD,2024-06-17T09:15:13.916605+01:00
